indicatorSlug,indicatorTitle,indicatorDescription,descriptionlen,indicatorCategory,parent,unit,datasource,Dataset Link,IDS_dataSpace,visible_on_platform,updateFreq,used_for_model,District Level Aggregation,adminLevel,cumulativeIndicator,License,State (Owned),Comments,Comments
mean-sex-ratio,Mean Sex Ratio,This is the number females per 1000 males,41,Vulnerability,Vulnerability,Ratio,WORLDPOP,,https://civicdataspace.in/datasets/cee2015f-850f-4bcc-b35c-9fbe26620b4a,y,annually,y,mean,Creative Commons Attribution 4.0 International License,,,,,
sum-aged-population,Elderly Population,This is the number of people of ages greater than or equal to 65,64,Vulnerability,Vulnerability,Number,WORLDPOP,,https://civicdataspace.in/datasets/cee2015f-850f-4bcc-b35c-9fbe26620b4a,y,annually,y,sum,Creative Commons Attribution 4.0 International License,,,,,
sum-young-population,Children Population,This is the number of people of ages less than or equal to 5,60,Vulnerability,Vulnerability,Number,WORLDPOP,,https://civicdataspace.in/datasets/cee2015f-850f-4bcc-b35c-9fbe26620b4a,y,annually,,,Creative Commons Attribution 4.0 International License,,,,,
government-response,Government Response,"This is the amount of resources as funding available to authorities, helping them respond to a disaster event effectively. For example, procurement or SDRF allocations.",168,Government Response,Composite Flood Risk,Score,MODEL,,,y,monthly,y,,,,,,"30-May: Add ""Score""","30-May: Add ""Score"""
total-tender-awarded-value,Flood Tenders : Total Value ,This is the total value of flood related tenders,48,Government Response,Government Response,INR,assamtenders.gov.in,,https://civicdataspace.in/datasets/f238952e-3e0f-4fa7-8afb-2c0e2b2f698d,y,monthly,y,sum,,total-tender-awarded-value-fy-cumsum,,,"30-May: Add Total Number of Flood Related Tenders above
 No unit","30-May: Add Total Number of Flood Related Tenders above
No unit"
total-tender-awarded-value-fy-cumsum,Flood Tenders : Total Value ,Total value of flood related tenders,36,Government Response,Government Response,INR,assamtenders.gov.in,https://drr.open-contracting.in/en/datasets/4f11d74b-5ed1-41c4-a018-816b05e0547b,,n,monthly,y,sum,,,,,,
sdrf-tenders-awarded-value-fy-cumsum,Flood Tenders Under SDRF : Total value ,This is the total value of tenders that are tagged under State Disaster Response Fund,110,Government Response,Government Response,INR,assamtenders.gov.in,https://drr.open-contracting.in/en/datasets/4f11d74b-5ed1-41c4-a018-816b05e0547b,,n,monthly,y,sum,,,,,,
restoration-measures-tenders-awarded-value-fy-cumsum,Repairs and Restoration Flood Tenders : Total Value  ,This is the total value of all tenders that are tagged towards Repair Restoration Measures,79,Government Response,Government Response,INR,assamtenders.gov.in,https://drr.open-contracting.in/en/datasets/4f11d74b-5ed1-41c4-a018-816b05e0547b,,n,monthly,n,sum,,,,,,
relief-and-mitigation-sanction-value-fy-cumsum,Immediate Measure Flood Tenders : Total Value,This is the total value of tenders that are tagged as Immediate Measures,77,Government Response,Government Response,INR,assamtenders.gov.in,https://drr.open-contracting.in/en/datasets/4f11d74b-5ed1-41c4-a018-816b05e0547b,,n,monthly,n,sum,,,,,,
others-tenders-awarded-value-fy-cumsum,Other Flood Tenders : Total value of Non restoration and Preparedness tenders,This is the total value of flood tenders that could not be tagged to a specific disaster relief activity,177,Government Response,Government Response,INR,assamtenders.gov.in,https://drr.open-contracting.in/en/datasets/4f11d74b-5ed1-41c4-a018-816b05e0547b,,n,monthly,n,sum,,,,,,
sdrf-sanctions-awarded-value-fy-cumsum,State Disaster Relief Funds Allocated District-wise During SEC meetings : Total Value ,This is the total value of SDRF funds sanctioned at the district level.,59,Government Response,Government Response,INR,SEC meeting minutes,https://drr.open-contracting.in/en/datasets/4f11d74b-5ed1-41c4-a018-816b05e0547b,,n,d,y,sum,,,,,,
inundation-intensity-sum,Sum of Inundation Intensities,This is the sum of the inundation intensities of all pixels in the region during the given month.,97,Hazard,Hazard,Number,BHUVAN,https://bhuvan-app1.nrsc.gov.in/disaster/disaster.php?id=flood,https://civicdataspace.in/datasets/2c10ed21-6f6b-4f58-83dc-5406fb048e25,n,monthly,y,sum,,,GNU General Public License,,Aug-2026: Added to cover a column present in the model output but absent from the reference sheet. Read by hazard.py as one of the three flood-hazard input variables.,Aug-2026: Added to cover a column present in the model output but absent from the reference sheet. Read by hazard.py as one of the three flood-hazard input variables.
count-inundated-pixels,Number of Inundated Pixels,This is the number of satellite pixels in the region detected as inundated during the given month.,98,Hazard,Hazard,Number,BHUVAN,https://bhuvan-app1.nrsc.gov.in/disaster/disaster.php?id=flood,https://civicdataspace.in/datasets/2c10ed21-6f6b-4f58-83dc-5406fb048e25,n,monthly,n,sum,,,GNU General Public License,,Aug-2026: Added to cover a column present in the model output but absent from the reference sheet. inundation-pct is this divided by count-bhuvan-pixels.,Aug-2026: Added to cover a column present in the model output but absent from the reference sheet. inundation-pct is this divided by count-bhuvan-pixels.
count-bhuvan-pixels,Number of Satellite Pixels,This is the total number of satellite pixels covering the region in the given month.,84,Hazard,Hazard,Number,BHUVAN,https://bhuvan-app1.nrsc.gov.in/disaster/disaster.php?id=flood,https://civicdataspace.in/datasets/2c10ed21-6f6b-4f58-83dc-5406fb048e25,n,monthly,n,sum,,,GNU General Public License,,Aug-2026: Added to cover a column present in the model output but absent from the reference sheet.,Aug-2026: Added to cover a column present in the model output but absent from the reference sheet.
slope-mean,Mean slope,Mean slope of the region,24,Hazard,Hazard,degrees,NASADEM,,https://civicdataspace.in/datasets/a33c6e71-fd59-4b57-b033-00c9bae34a9a,n,one-time,n,mean,,,,,"Aug-2026: Definition matches Assam, Odisha and Himachal (""Mean slope of the region"" / degrees / NASADEM), but Bihar VALUES ARE NOT USABLE AS DEGREES. Bihar 65.6-88.2 (median 82.9) and Assam 70-90 (median 85) vs Himachal 4.5-35.1 (median 23.2); a median slope of 83 deg is impossible on the Gangetic plain. Ranking is correct (Kaimur/Gaya hills highest, floodplain lowest; corr with elevation +0.398, same sign as Himachal) so this is an inflated-gradient/units problem saturating arctan near 90, not an inversion. visible_on_platform set to n pending re-extraction via ee.Terrain.slope on native NASADEM. Not read by any Bihar factor script, so no risk score is affected.","Aug-2026: Definition matches Assam, Odisha and Himachal (""Mean slope of the region"" / degrees / NASADEM), but Bihar VALUES ARE NOT USABLE AS DEGREES. Bihar 65.6-88.2 (median 82.9) and Assam 70-90 (median 85) vs Himachal 4.5-35.1 (median 23.2); a median slope of 83 deg is impossible on the Gangetic plain. Ranking is correct (Kaimur/Gaya hills highest, floodplain lowest; corr with elevation +0.398, same sign as Himachal) so this is an inflated-gradient/units problem saturating arctan near 90, not an inversion. visible_on_platform set to n pending re-extraction via ee.Terrain.slope on native NASADEM. Not read by any Bihar factor script, so no risk score is affected."
count,Rainfall observation count,Count of source observations aggregated for the region in the given month.,74,Hazard,Hazard,Number,IMD,,,n,monthly,n,sum,,,,,Aug-2026: Added to cover a column present in the model output but absent from the reference sheet. Provenance unconfirmed - sits with the IMD rainfall columns in MASTER_VARIABLES but does not reconcile as sum-rain/mean-rain; zero on 71% of rows. Verify before use.,Aug-2026: Added to cover a column present in the model output but absent from the reference sheet. Provenance unconfirmed - sits with the IMD rainfall columns in MASTER_VARIABLES but does not reconcile as sum-rain/mean-rain; zero on 71% of rows. Verify before use.
rail-count,Number of Rail Segments in the Region,This is the number of rail segments in the region,49,Vulnerability,Vulnerability,Number,BHARATMAPS,,https://civicdataspace.in/datasets/16eda4f3-78fa-4702-833f-da332458792c,n,annually,n,sum,,,,,Aug-2026: Added to cover a column present in the model output but absent from the reference sheet.,Aug-2026: Added to cover a column present in the model output but absent from the reference sheet.
urban-hhd,Urban Households,This is the number of urban households in the region,52,Vulnerability,Vulnerability,Number,MISSION ANTYODAYA 2020,,,n,annually,n,sum,,,GODL,,"Aug-2026: Added to cover a column present in the model output but absent from the reference sheet. total-hhd = urban-hhd + rural-hhd exactly on all 33,579 rows.","Aug-2026: Added to cover a column present in the model output but absent from the reference sheet. total-hhd = urban-hhd + rural-hhd exactly on all 33,579 rows."
rural-hhd,Rural Households,This is the number of rural households in the region,52,Vulnerability,Vulnerability,Number,MISSION ANTYODAYA 2020,,,n,annually,n,sum,,,GODL,,"Aug-2026: Added to cover a column present in the model output but absent from the reference sheet. total-hhd = urban-hhd + rural-hhd exactly on all 33,579 rows.","Aug-2026: Added to cover a column present in the model output but absent from the reference sheet. total-hhd = urban-hhd + rural-hhd exactly on all 33,579 rows."
urban-electricity,Urban Domestic Electricity Availability,Underlying Mission Antyodaya measure of domestic electricity availability across urban households in the region,111,Vulnerability,Vulnerability,,MISSION ANTYODAYA 2020,,,n,annually,n,sum,,,GODL,,"Aug-2026: Added to cover a column present in the model output but absent from the reference sheet. Source column behind avg-electricity; the two are not a simple ratio, derivation unverified.","Aug-2026: Added to cover a column present in the model output but absent from the reference sheet. Source column behind avg-electricity; the two are not a simple ratio, derivation unverified."
urban-tele,Urban Telecom Availability,Underlying Mission Antyodaya measure of telecom service availability across urban households in the region,106,Vulnerability,Vulnerability,,MISSION ANTYODAYA 2020,,,n,annually,n,sum,,,GODL,,Aug-2026: Added to cover a column present in the model output but absent from the reference sheet. Source column behind avg-tele.,Aug-2026: Added to cover a column present in the model output but absent from the reference sheet. Source column behind avg-tele.
urban-hhd-pipe,Urban Households with Piped Water Connection,Underlying Mission Antyodaya count of urban households with a piped water connection,84,Vulnerability,Vulnerability,Number,MISSION ANTYODAYA 2020,,,n,annually,n,sum,,,GODL,,Aug-2026: Added to cover a column present in the model output but absent from the reference sheet. Source column behind sd-piped-hhds-pct.,Aug-2026: Added to cover a column present in the model output but absent from the reference sheet. Source column behind sd-piped-hhds-pct.
urban-no-sanitation,Urban Households Without Sanitation Facilities,Underlying Mission Antyodaya count of urban households without sanitation facilities,84,Vulnerability,Vulnerability,Number,MISSION ANTYODAYA 2020,,,n,annually,n,sum,,,GODL,,Aug-2026: Added to cover a column present in the model output but absent from the reference sheet. Source column behind sd-nosanitation-hhds-pct.,Aug-2026: Added to cover a column present in the model output but absent from the reference sheet. Source column behind sd-nosanitation-hhds-pct.
sdrf-tenders-awarded-value,Flood Tenders Under SDRF : Total value,This is the total value of tenders that are tagged under State Disaster Response Fund in the given month,104,Government Response,Government Response,INR,eproc2.bihar.gov.in,,https://civicdataspace.in/datasets/f238952e-3e0f-4fa7-8afb-2c0e2b2f698d,n,monthly,n,sum,,sdrf-tenders-awarded-value-fy-cumsum,,,"Aug-2026: Monthly counterpart of the -fy-cumsum row. Zero on all 33,579 rows - no data yet.","Aug-2026: Monthly counterpart of the -fy-cumsum row. Zero on all 33,579 rows - no data yet."
restoration-measures-tenders-awarded-value,Repairs and Restoration Flood Tenders : Total Value,This is the total value of all tenders that are tagged towards Repair Restoration Measures in the given month,109,Government Response,Government Response,INR,eproc2.bihar.gov.in,,https://civicdataspace.in/datasets/f238952e-3e0f-4fa7-8afb-2c0e2b2f698d,n,monthly,n,sum,,restoration-measures-tenders-awarded-value-fy-cumsum,,,Aug-2026: Monthly counterpart of the -fy-cumsum row.,Aug-2026: Monthly counterpart of the -fy-cumsum row.
relief-and-mitigation-sanction-value,Immediate Measure Flood Tenders : Total Value,This is the total value of tenders that are tagged as Immediate Measures in the given month,91,Government Response,Government Response,INR,eproc2.bihar.gov.in,,https://civicdataspace.in/datasets/f238952e-3e0f-4fa7-8afb-2c0e2b2f698d,n,monthly,n,sum,,relief-and-mitigation-sanction-value-fy-cumsum,,,Aug-2026: Monthly counterpart of the -fy-cumsum row.,Aug-2026: Monthly counterpart of the -fy-cumsum row.
others-tenders-awarded-value,Other Flood Tenders : Total value of Non restoration and Preparedness tenders,This is the total value of flood tenders that could not be tagged to a specific disaster relief activity in the given month,123,Government Response,Government Response,INR,eproc2.bihar.gov.in,,https://civicdataspace.in/datasets/f238952e-3e0f-4fa7-8afb-2c0e2b2f698d,n,monthly,n,sum,,others-tenders-awarded-value-fy-cumsum,,,Aug-2026: Monthly counterpart of the -fy-cumsum row.,Aug-2026: Monthly counterpart of the -fy-cumsum row.
sdrf-sanctions-awarded-value,State Disaster Relief Funds Allocated District-wise During SEC meetings : Total Value,This is the total value of SDRF funds sanctioned at the district level in the given month,89,Government Response,Government Response,INR,SEC meeting minutes,,,n,monthly,n,sum,,sdrf-sanctions-awarded-value-fy-cumsum,,,"Aug-2026: Monthly counterpart of the -fy-cumsum row. Zero on all 33,579 rows - no data yet.","Aug-2026: Monthly counterpart of the -fy-cumsum row. Zero on all 33,579 rows - no data yet."
preparedness-measures-tenders-awarded-value,Preparedness Measures Flood Tenders : Total Value,This is the total value of all tenders that are tagged towards Preparedness Measures in the given month,103,Government Response,Government Response,INR,eproc2.bihar.gov.in,,https://civicdataspace.in/datasets/f238952e-3e0f-4fa7-8afb-2c0e2b2f698d,n,monthly,n,sum,,,,,Aug-2026: Added to cover a column present in the model output but absent from the reference sheet. No -fy-cumsum column exists for it in the data. Not a distinct column in risk_score_final.csv - topsis_riskscore.py:106 renames it into restoration-measures-tenders-awarded-value there.,Aug-2026: Added to cover a column present in the model output but absent from the reference sheet. No -fy-cumsum column exists for it in the data. Not a distinct column in risk_score_final.csv - topsis_riskscore.py:106 renames it into restoration-measures-tenders-awarded-value there.
